SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[22, 10, 28, 16]",4,4,"[20, 8, 28, 16]",64
"[5, 7, 11, 13]",3,3,"[4, 0, 12, 16]",128
"[7, 20, 13, 26]",2,2,"[0, 16, 16, 32]",256
"[14, 12, 20, 18]",4,4,"[12, 12, 20, 20]",64
"[22, 21, 28, 27]",4,4,"[20, 20, 28, 28]",64
"[18, 13, 24, 19]",4,4,"[16, 12, 24, 20]",64
"[1, 12, 7, 18]",4,4,"[0, 12, 8, 20]",64
"[22, 18, 28, 24]",4,4,"[20, 16, 28, 24]",64
"[13, 24, 19, 30]",4,4,"[12, 24, 20, 32]",64
"[21, 22, 27, 28]",4,4,"[20, 20, 28, 28]",64
"[1, 5, 7, 11]",4,4,"[0, 4, 8, 12]",64
"[14, 2, 20, 8]",4,4,"[12, 0, 20, 8]",64
"[8, 22, 14, 28]",4,4,"[8, 20, 16, 28]",64
"[5, 14, 11, 20]",4,4,"[4, 12, 12, 20]",64
"[16, 15, 22, 21]",3,3,"[16, 8, 24, 24]",128
"[17, 19, 23, 25]",3,3,"[16, 16, 24, 32]",128
"[24, 0, 30, 6]",4,4,"[24, 0, 32, 8]",64
"[1, 15, 7, 21]",3,3,"[0, 8, 8, 24]",128
"[10, 9, 16, 15]",4,4,"[8, 8, 16, 16]",64
"[26, 14, 32, 20]",4,4,"[24, 12, 32, 20]",64
"[1, 25, 7, 31]",4,4,"[0, 24, 8, 32]",64
"[26, 25, 32, 31]",4,4,"[24, 24, 32, 32]",64
"[13, 6, 19, 12]",4,4,"[12, 4, 20, 12]",64
"[17, 20, 23, 26]",4,4,"[16, 20, 24, 28]",64
"[2, 26, 8, 32]",4,4,"[0, 24, 8, 32]",64
"[23, 4, 29, 10]",2,2,"[16, 0, 32, 16]",256
"[0, 12, 6, 18]",4,4,"[0, 12, 8, 20]",64
"[21, 13, 27, 19]",4,4,"[20, 12, 28, 20]",64
"[10, 0, 16, 6]",4,4,"[8, 0, 16, 8]",64
"[6, 0, 12, 6]",4,4,"[4, 0, 12, 8]",64
"[22, 24, 28, 30]",4,4,"[20, 24, 28, 32]",64
"[0, 26, 6, 32]",4,4,"[0, 24, 8, 32]",64
"[21, 16, 27, 22]",4,4,"[20, 16, 28, 24]",64
"[19, 3, 25, 9]",2,2,"[16, 0, 32, 16]",256
"[6, 3, 12, 9]",3,3,"[4, 0, 12, 16]",128
"[19, 20, 25, 26]",2,2,"[16, 16, 32, 32]",256
"[6, 9, 12, 15]",4,4,"[4, 8, 12, 16]",64
"[8, 22, 14, 28]",4,4,"[8, 20, 16, 28]",64
"[5, 3, 11, 9]",3,3,"[4, 0, 12, 16]",128
"[15, 12, 21, 18]",2,2,"[8, 8, 24, 24]",256
"[20, 2, 26, 8]",4,4,"[20, 0, 28, 8]",64
"[0, 8, 6, 14]",4,4,"[0, 8, 8, 16]",64
"[14, 25, 20, 31]",4,4,"[12, 24, 20, 32]",64
"[25, 3, 31, 9]",3,3,"[24, 0, 32, 16]",128
"[8, 4, 14, 10]",4,4,"[8, 4, 16, 12]",64
"[20, 16, 26, 22]",4,4,"[20, 16, 28, 24]",64
"[26, 20, 32, 26]",4,4,"[24, 20, 32, 28]",64
"[20, 11, 26, 17]",3,3,"[20, 8, 28, 24]",128
"[3, 4, 9, 10]",2,2,"[0, 0, 16, 16]",256
"[8, 0, 14, 6]",4,4,"[8, 0, 16, 8]",64
"[1, 1, 7, 7]",4,4,"[0, 0, 8, 8]",64
"[6, 21, 12, 27]",4,4,"[4, 20, 12, 28]",64
"[8, 17, 14, 23]",4,4,"[8, 16, 16, 24]",64
"[10, 11, 16, 17]",3,3,"[8, 8, 16, 24]",128
"[18, 1, 24, 7]",4,4,"[16, 0, 24, 8]",64
"[23, 22, 29, 28]",2,2,"[16, 16, 32, 32]",256
