SRC_exhaustive Query: Small,Depth,BBoxes,Data Size
"[15, 14, 16, 15]",6,"[8, 0, 10, 2]",4
"[9, 0, 10, 1]",1,"[4, 0, 12, 16]",128
"[7, 5, 8, 6]",3,"[6, 4, 10, 12]",32
"[15, 15, 16, 16]",6,"[0, 0, 2, 2]",4
"[10, 2, 11, 3]",1,"[4, 0, 12, 16]",128
"[8, 4, 9, 5]",3,"[6, 4, 10, 12]",32
"[12, 6, 13, 7]",5,"[11, 6, 13, 10]",8
"[10, 9, 11, 10]",6,"[8, 6, 10, 8]",4
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[10, 7, 11, 8]",6,"[9, 6, 11, 8]",4
"[10, 14, 11, 15]",6,"[9, 12, 11, 14]",4
"[7, 8, 8, 9]",6,"[7, 7, 9, 9]",4
"[11, 5, 12, 6]",3,"[8, 4, 12, 12]",32
"[9, 0, 10, 1]",1,"[4, 0, 12, 16]",128
"[11, 1, 12, 2]",1,"[4, 0, 12, 16]",128
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[0, 15, 1, 16]",0,"[0, 0, 16, 16]",256
"[1, 0, 2, 1]",0,"[0, 0, 16, 16]",256
"[7, 1, 8, 2]",1,"[4, 0, 12, 16]",128
"[0, 7, 1, 8]",0,"[0, 0, 16, 16]",256
"[10, 2, 11, 3]",1,"[4, 0, 12, 16]",128
"[1, 11, 2, 12]",0,"[0, 0, 16, 16]",256
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[6, 14, 7, 15]",4,"[6, 12, 10, 16]",16
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[11, 9, 12, 10]",6,"[4, 0, 6, 2]",4
"[5, 10, 6, 11]",2,"[4, 4, 12, 12]",64
"[13, 12, 14, 13]",6,"[10, 8, 12, 10]",4
"[0, 13, 1, 14]",0,"[0, 0, 16, 16]",256
"[8, 14, 9, 15]",6,"[7, 12, 9, 14]",4
"[1, 3, 2, 4]",0,"[0, 0, 16, 16]",256
"[13, 12, 14, 13]",6,"[10, 8, 12, 10]",4
"[5, 0, 6, 1]",1,"[4, 0, 12, 16]",128
"[4, 4, 5, 5]",2,"[4, 4, 12, 12]",64
"[2, 10, 3, 11]",0,"[0, 0, 16, 16]",256
"[7, 5, 8, 6]",3,"[6, 4, 10, 12]",32
"[7, 0, 8, 1]",1,"[4, 0, 12, 16]",128
"[5, 5, 6, 6]",2,"[4, 4, 12, 12]",64
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[3, 14, 4, 15]",0,"[0, 0, 16, 16]",256
"[4, 1, 5, 2]",1,"[4, 0, 12, 16]",128
"[8, 10, 9, 11]",6,"[7, 8, 9, 10]",4
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[1, 15, 2, 16]",0,"[0, 0, 16, 16]",256
"[2, 11, 3, 12]",0,"[0, 0, 16, 16]",256
"[9, 4, 10, 5]",3,"[6, 4, 10, 12]",32
"[14, 7, 15, 8]",6,"[13, 6, 15, 8]",4
"[11, 5, 12, 6]",3,"[8, 4, 12, 12]",32
"[12, 10, 13, 11]",6,"[11, 8, 13, 10]",4
"[8, 15, 9, 16]",6,"[0, 0, 2, 2]",4
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[9, 9, 10, 10]",6,"[6, 4, 8, 6]",4
"[15, 1, 16, 2]",1,"[8, 0, 16, 16]",128
"[8, 1, 9, 2]",1,"[4, 0, 12, 16]",128
"[14, 12, 15, 13]",6,"[13, 10, 15, 12]",4
"[3, 12, 4, 13]",0,"[0, 0, 16, 16]",256
"[11, 15, 12, 16]",6,"[0, 0, 2, 2]",4
"[1, 0, 2, 1]",0,"[0, 0, 16, 16]",256
"[8, 1, 9, 2]",1,"[4, 0, 12, 16]",128
"[8, 9, 9, 10]",6,"[6, 6, 8, 8]",4
"[6, 10, 7, 11]",4,"[6, 8, 10, 12]",16
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[6, 3, 7, 4]",1,"[4, 0, 12, 16]",128
"[10, 7, 11, 8]",6,"[9, 6, 11, 8]",4
"[11, 5, 12, 6]",3,"[8, 4, 12, 12]",32
"[4, 10, 5, 11]",2,"[4, 4, 12, 12]",64
"[0, 1, 1, 2]",0,"[0, 0, 16, 16]",256
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[11, 9, 12, 10]",6,"[4, 0, 6, 2]",4
"[9, 10, 10, 11]",6,"[6, 4, 8, 6]",4
"[15, 12, 16, 13]",6,"[8, 0, 10, 2]",4
"[13, 5, 14, 6]",3,"[10, 4, 14, 12]",32
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[1, 14, 2, 15]",0,"[0, 0, 16, 16]",256
"[4, 10, 5, 11]",2,"[4, 4, 12, 12]",64
"[0, 15, 1, 16]",0,"[0, 0, 16, 16]",256
"[8, 6, 9, 7]",5,"[7, 6, 9, 10]",8
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[5, 2, 6, 3]",1,"[4, 0, 12, 16]",128
"[5, 3, 6, 4]",1,"[4, 0, 12, 16]",128
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[8, 9, 9, 10]",6,"[6, 6, 8, 8]",4
"[9, 0, 10, 1]",1,"[4, 0, 12, 16]",128
"[13, 8, 14, 9]",6,"[10, 4, 12, 6]",4
"[8, 10, 9, 11]",6,"[7, 8, 9, 10]",4
"[10, 6, 11, 7]",5,"[9, 6, 11, 10]",8
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[12, 11, 13, 12]",6,"[8, 4, 10, 6]",4
"[14, 1, 15, 2]",1,"[8, 0, 16, 16]",128
"[13, 7, 14, 8]",6,"[10, 4, 12, 6]",4
"[0, 11, 1, 12]",0,"[0, 0, 16, 16]",256
"[5, 6, 6, 7]",2,"[4, 4, 12, 12]",64
"[11, 15, 12, 16]",6,"[0, 0, 2, 2]",4
"[0, 7, 1, 8]",0,"[0, 0, 16, 16]",256
"[7, 8, 8, 9]",6,"[7, 7, 9, 9]",4
"[5, 13, 6, 14]",2,"[4, 8, 12, 16]",64
"[2, 14, 3, 15]",0,"[0, 0, 16, 16]",256
"[7, 14, 8, 15]",6,"[7, 13, 9, 15]",4
"[3, 6, 4, 7]",0,"[0, 0, 16, 16]",256
"[5, 14, 6, 15]",2,"[4, 8, 12, 16]",64
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[8, 13, 9, 14]",6,"[6, 10, 8, 12]",4
"[11, 10, 12, 11]",6,"[4, 0, 6, 2]",4
"[2, 9, 3, 10]",0,"[0, 0, 16, 16]",256
"[0, 15, 1, 16]",0,"[0, 0, 16, 16]",256
"[0, 8, 1, 9]",0,"[0, 0, 16, 16]",256
"[6, 12, 7, 13]",4,"[6, 10, 10, 14]",16
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[14, 11, 15, 12]",6,"[8, 4, 10, 6]",4
"[4, 8, 5, 9]",2,"[4, 4, 12, 12]",64
"[10, 0, 11, 1]",1,"[4, 0, 12, 16]",128
"[12, 15, 13, 16]",6,"[0, 0, 2, 2]",4
"[4, 1, 5, 2]",1,"[4, 0, 12, 16]",128
"[2, 11, 3, 12]",0,"[0, 0, 16, 16]",256
"[11, 0, 12, 1]",1,"[4, 0, 12, 16]",128
"[2, 6, 3, 7]",0,"[0, 0, 16, 16]",256
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[1, 10, 2, 11]",0,"[0, 0, 16, 16]",256
"[0, 10, 1, 11]",0,"[0, 0, 16, 16]",256
"[12, 4, 13, 5]",3,"[10, 4, 14, 12]",32
"[8, 13, 9, 14]",6,"[6, 10, 8, 12]",4
"[4, 4, 5, 5]",2,"[4, 4, 12, 12]",64
"[12, 9, 13, 10]",6,"[10, 6, 12, 8]",4
"[1, 5, 2, 6]",0,"[0, 0, 16, 16]",256
"[4, 4, 5, 5]",2,"[4, 4, 12, 12]",64
"[15, 1, 16, 2]",1,"[8, 0, 16, 16]",128
"[1, 12, 2, 13]",0,"[0, 0, 16, 16]",256
"[5, 11, 6, 12]",2,"[4, 4, 12, 12]",64
"[2, 2, 3, 3]",0,"[0, 0, 16, 16]",256
"[5, 8, 6, 9]",2,"[4, 4, 12, 12]",64
"[6, 8, 7, 9]",4,"[6, 6, 10, 10]",16
"[10, 8, 11, 9]",6,"[9, 6, 11, 8]",4
"[8, 14, 9, 15]",6,"[7, 12, 9, 14]",4
"[4, 14, 5, 15]",2,"[4, 8, 12, 16]",64
"[4, 1, 5, 2]",1,"[4, 0, 12, 16]",128
"[5, 1, 6, 2]",1,"[4, 0, 12, 16]",128
"[10, 2, 11, 3]",1,"[4, 0, 12, 16]",128
"[6, 14, 7, 15]",4,"[6, 12, 10, 16]",16
"[7, 14, 8, 15]",6,"[7, 13, 9, 15]",4
"[5, 10, 6, 11]",2,"[4, 4, 12, 12]",64
"[4, 15, 5, 16]",2,"[4, 8, 12, 16]",64
"[1, 2, 2, 3]",0,"[0, 0, 16, 16]",256
"[10, 0, 11, 1]",1,"[4, 0, 12, 16]",128
"[2, 3, 3, 4]",0,"[0, 0, 16, 16]",256
"[13, 11, 14, 12]",6,"[8, 4, 10, 6]",4
"[14, 10, 15, 11]",6,"[13, 8, 15, 10]",4
"[12, 11, 13, 12]",6,"[8, 4, 10, 6]",4
"[3, 4, 4, 5]",0,"[0, 0, 16, 16]",256
"[10, 0, 11, 1]",1,"[4, 0, 12, 16]",128
"[5, 4, 6, 5]",2,"[4, 4, 12, 12]",64
"[0, 10, 1, 11]",0,"[0, 0, 16, 16]",256
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[13, 1, 14, 2]",1,"[8, 0, 16, 16]",128
"[9, 12, 10, 13]",6,"[6, 8, 8, 10]",4
"[1, 5, 2, 6]",0,"[0, 0, 16, 16]",256
"[11, 2, 12, 3]",1,"[4, 0, 12, 16]",128
"[13, 1, 14, 2]",1,"[8, 0, 16, 16]",128
"[14, 11, 15, 12]",6,"[8, 4, 10, 6]",4
"[8, 9, 9, 10]",6,"[6, 6, 8, 8]",4
"[14, 13, 15, 14]",6,"[12, 10, 14, 12]",4
"[5, 0, 6, 1]",1,"[4, 0, 12, 16]",128
"[14, 8, 15, 9]",6,"[13, 6, 15, 8]",4
"[6, 12, 7, 13]",4,"[6, 10, 10, 14]",16
"[2, 11, 3, 12]",0,"[0, 0, 16, 16]",256
"[3, 3, 4, 4]",0,"[0, 0, 16, 16]",256
"[0, 11, 1, 12]",0,"[0, 0, 16, 16]",256
"[0, 5, 1, 6]",0,"[0, 0, 16, 16]",256
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[10, 14, 11, 15]",6,"[9, 12, 11, 14]",4
"[15, 15, 16, 16]",6,"[0, 0, 2, 2]",4
"[2, 1, 3, 2]",0,"[0, 0, 16, 16]",256
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[0, 3, 1, 4]",0,"[0, 0, 16, 16]",256
"[2, 10, 3, 11]",0,"[0, 0, 16, 16]",256
"[11, 3, 12, 4]",1,"[4, 0, 12, 16]",128
"[15, 1, 16, 2]",1,"[8, 0, 16, 16]",128
"[4, 9, 5, 10]",2,"[4, 4, 12, 12]",64
"[1, 0, 2, 1]",0,"[0, 0, 16, 16]",256
"[12, 10, 13, 11]",6,"[11, 8, 13, 10]",4
"[5, 4, 6, 5]",2,"[4, 4, 12, 12]",64
"[5, 5, 6, 6]",2,"[4, 4, 12, 12]",64
"[5, 7, 6, 8]",2,"[4, 4, 12, 12]",64
"[10, 0, 11, 1]",1,"[4, 0, 12, 16]",128
"[15, 12, 16, 13]",6,"[8, 0, 10, 2]",4
"[1, 7, 2, 8]",0,"[0, 0, 16, 16]",256
"[7, 9, 8, 10]",6,"[6, 6, 8, 8]",4
"[10, 5, 11, 6]",3,"[8, 4, 12, 12]",32
"[7, 11, 8, 12]",6,"[4, 4, 6, 6]",4
"[7, 5, 8, 6]",3,"[6, 4, 10, 12]",32
"[13, 14, 14, 15]",6,"[10, 8, 12, 10]",4
"[11, 4, 12, 5]",3,"[8, 4, 12, 12]",32
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[5, 0, 6, 1]",1,"[4, 0, 12, 16]",128
"[12, 5, 13, 6]",3,"[10, 4, 14, 12]",32
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[0, 10, 1, 11]",0,"[0, 0, 16, 16]",256
"[0, 1, 1, 2]",0,"[0, 0, 16, 16]",256
"[1, 3, 2, 4]",0,"[0, 0, 16, 16]",256
"[4, 4, 5, 5]",2,"[4, 4, 12, 12]",64
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[13, 13, 14, 14]",6,"[10, 8, 12, 10]",4
"[10, 7, 11, 8]",6,"[9, 6, 11, 8]",4
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[6, 12, 7, 13]",4,"[6, 10, 10, 14]",16
"[2, 4, 3, 5]",0,"[0, 0, 16, 16]",256
"[13, 11, 14, 12]",6,"[8, 4, 10, 6]",4
"[3, 13, 4, 14]",0,"[0, 0, 16, 16]",256
"[13, 7, 14, 8]",6,"[10, 4, 12, 6]",4
"[15, 12, 16, 13]",6,"[8, 0, 10, 2]",4
"[7, 12, 8, 13]",6,"[7, 11, 9, 13]",4
"[7, 15, 8, 16]",6,"[0, 0, 2, 2]",4
"[12, 2, 13, 3]",1,"[8, 0, 16, 16]",128
"[8, 8, 9, 9]",6,"[7, 6, 9, 8]",4
"[11, 0, 12, 1]",1,"[4, 0, 12, 16]",128
"[15, 7, 16, 8]",6,"[8, 0, 10, 2]",4
"[8, 1, 9, 2]",1,"[4, 0, 12, 16]",128
"[10, 12, 11, 13]",6,"[9, 10, 11, 12]",4
"[3, 1, 4, 2]",0,"[0, 0, 16, 16]",256
"[4, 12, 5, 13]",2,"[4, 8, 12, 16]",64
"[0, 13, 1, 14]",0,"[0, 0, 16, 16]",256
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[3, 14, 4, 15]",0,"[0, 0, 16, 16]",256
"[14, 5, 15, 6]",3,"[12, 4, 16, 12]",32
"[5, 10, 6, 11]",2,"[4, 4, 12, 12]",64
"[15, 13, 16, 14]",6,"[8, 0, 10, 2]",4
"[5, 9, 6, 10]",2,"[4, 4, 12, 12]",64
"[3, 11, 4, 12]",0,"[0, 0, 16, 16]",256
"[11, 4, 12, 5]",3,"[8, 4, 12, 12]",32
"[11, 15, 12, 16]",6,"[0, 0, 2, 2]",4
"[1, 6, 2, 7]",0,"[0, 0, 16, 16]",256
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[10, 9, 11, 10]",6,"[8, 6, 10, 8]",4
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[9, 13, 10, 14]",6,"[6, 8, 8, 10]",4
"[1, 13, 2, 14]",0,"[0, 0, 16, 16]",256
"[8, 12, 9, 13]",6,"[7, 10, 9, 12]",4
"[6, 11, 7, 12]",4,"[6, 8, 10, 12]",16
"[4, 4, 5, 5]",2,"[4, 4, 12, 12]",64
"[3, 11, 4, 12]",0,"[0, 0, 16, 16]",256
"[5, 0, 6, 1]",1,"[4, 0, 12, 16]",128
"[13, 12, 14, 13]",6,"[10, 8, 12, 10]",4
"[14, 2, 15, 3]",1,"[8, 0, 16, 16]",128
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[4, 5, 5, 6]",2,"[4, 4, 12, 12]",64
"[4, 6, 5, 7]",2,"[4, 4, 12, 12]",64
"[5, 7, 6, 8]",2,"[4, 4, 12, 12]",64
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[15, 11, 16, 12]",6,"[8, 0, 10, 2]",4
"[9, 10, 10, 11]",6,"[6, 4, 8, 6]",4
"[3, 13, 4, 14]",0,"[0, 0, 16, 16]",256
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[10, 10, 11, 11]",6,"[9, 8, 11, 10]",4
"[4, 12, 5, 13]",2,"[4, 8, 12, 16]",64
"[9, 7, 10, 8]",6,"[6, 4, 8, 6]",4
"[12, 11, 13, 12]",6,"[8, 4, 10, 6]",4
"[12, 15, 13, 16]",6,"[0, 0, 2, 2]",4
"[9, 13, 10, 14]",6,"[6, 8, 8, 10]",4
"[13, 3, 14, 4]",1,"[8, 0, 16, 16]",128
"[4, 4, 5, 5]",2,"[4, 4, 12, 12]",64
"[0, 3, 1, 4]",0,"[0, 0, 16, 16]",256
"[6, 3, 7, 4]",1,"[4, 0, 12, 16]",128
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[12, 2, 13, 3]",1,"[8, 0, 16, 16]",128
"[1, 0, 2, 1]",0,"[0, 0, 16, 16]",256
"[3, 11, 4, 12]",0,"[0, 0, 16, 16]",256
"[15, 10, 16, 11]",6,"[8, 0, 10, 2]",4
"[3, 14, 4, 15]",0,"[0, 0, 16, 16]",256
"[11, 8, 12, 9]",6,"[4, 0, 6, 2]",4
"[15, 7, 16, 8]",6,"[8, 0, 10, 2]",4
"[5, 2, 6, 3]",1,"[4, 0, 12, 16]",128
"[5, 0, 6, 1]",1,"[4, 0, 12, 16]",128
"[5, 13, 6, 14]",2,"[4, 8, 12, 16]",64
"[6, 14, 7, 15]",4,"[6, 12, 10, 16]",16
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[12, 5, 13, 6]",3,"[10, 4, 14, 12]",32
"[14, 1, 15, 2]",1,"[8, 0, 16, 16]",128
"[12, 2, 13, 3]",1,"[8, 0, 16, 16]",128
"[12, 10, 13, 11]",6,"[11, 8, 13, 10]",4
"[7, 14, 8, 15]",6,"[7, 13, 9, 15]",4
"[1, 15, 2, 16]",0,"[0, 0, 16, 16]",256
"[3, 8, 4, 9]",0,"[0, 0, 16, 16]",256
"[15, 12, 16, 13]",6,"[8, 0, 10, 2]",4
"[15, 8, 16, 9]",6,"[8, 0, 10, 2]",4
"[5, 7, 6, 8]",2,"[4, 4, 12, 12]",64
"[11, 5, 12, 6]",3,"[8, 4, 12, 12]",32
"[9, 4, 10, 5]",3,"[6, 4, 10, 12]",32
"[14, 2, 15, 3]",1,"[8, 0, 16, 16]",128
"[2, 15, 3, 16]",0,"[0, 0, 16, 16]",256
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[2, 8, 3, 9]",0,"[0, 0, 16, 16]",256
"[15, 7, 16, 8]",6,"[8, 0, 10, 2]",4
"[3, 9, 4, 10]",0,"[0, 0, 16, 16]",256
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[3, 4, 4, 5]",0,"[0, 0, 16, 16]",256
"[1, 4, 2, 5]",0,"[0, 0, 16, 16]",256
"[6, 0, 7, 1]",1,"[4, 0, 12, 16]",128
"[1, 12, 2, 13]",0,"[0, 0, 16, 16]",256
"[15, 3, 16, 4]",1,"[8, 0, 16, 16]",128
"[15, 11, 16, 12]",6,"[8, 0, 10, 2]",4
"[10, 3, 11, 4]",1,"[4, 0, 12, 16]",128
"[0, 7, 1, 8]",0,"[0, 0, 16, 16]",256
"[7, 15, 8, 16]",6,"[0, 0, 2, 2]",4
"[9, 8, 10, 9]",6,"[6, 4, 8, 6]",4
"[7, 0, 8, 1]",1,"[4, 0, 12, 16]",128
"[15, 11, 16, 12]",6,"[8, 0, 10, 2]",4
"[10, 2, 11, 3]",1,"[4, 0, 12, 16]",128
"[2, 9, 3, 10]",0,"[0, 0, 16, 16]",256
"[13, 7, 14, 8]",6,"[10, 4, 12, 6]",4
"[11, 12, 12, 13]",6,"[4, 0, 6, 2]",4
"[4, 7, 5, 8]",2,"[4, 4, 12, 12]",64
"[9, 6, 10, 7]",5,"[8, 6, 10, 10]",8
"[15, 11, 16, 12]",6,"[8, 0, 10, 2]",4
"[9, 12, 10, 13]",6,"[6, 8, 8, 10]",4
"[4, 3, 5, 4]",1,"[4, 0, 12, 16]",128
"[12, 11, 13, 12]",6,"[8, 4, 10, 6]",4
"[15, 7, 16, 8]",6,"[8, 0, 10, 2]",4
"[11, 11, 12, 12]",6,"[4, 0, 6, 2]",4
"[13, 8, 14, 9]",6,"[10, 4, 12, 6]",4
"[11, 12, 12, 13]",6,"[4, 0, 6, 2]",4
"[9, 3, 10, 4]",1,"[4, 0, 12, 16]",128
"[15, 9, 16, 10]",6,"[8, 0, 10, 2]",4
"[3, 14, 4, 15]",0,"[0, 0, 16, 16]",256
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[7, 5, 8, 6]",3,"[6, 4, 10, 12]",32
"[10, 15, 11, 16]",6,"[0, 0, 2, 2]",4
"[7, 3, 8, 4]",1,"[4, 0, 12, 16]",128
"[12, 12, 13, 13]",6,"[11, 10, 13, 12]",4
"[14, 14, 15, 15]",6,"[13, 12, 15, 14]",4
"[7, 12, 8, 13]",6,"[7, 11, 9, 13]",4
"[9, 15, 10, 16]",6,"[0, 0, 2, 2]",4
"[7, 10, 8, 11]",6,"[7, 9, 9, 11]",4
"[0, 2, 1, 3]",0,"[0, 0, 16, 16]",256
"[15, 10, 16, 11]",6,"[8, 0, 10, 2]",4
"[12, 7, 13, 8]",6,"[11, 6, 13, 8]",4
"[13, 1, 14, 2]",1,"[8, 0, 16, 16]",128
"[1, 13, 2, 14]",0,"[0, 0, 16, 16]",256
"[2, 8, 3, 9]",0,"[0, 0, 16, 16]",256
"[6, 10, 7, 11]",4,"[6, 8, 10, 12]",16
"[5, 3, 6, 4]",1,"[4, 0, 12, 16]",128
"[5, 11, 6, 12]",2,"[4, 4, 12, 12]",64
"[0, 7, 1, 8]",0,"[0, 0, 16, 16]",256
"[1, 0, 2, 1]",0,"[0, 0, 16, 16]",256
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[4, 3, 5, 4]",1,"[4, 0, 12, 16]",128
"[6, 2, 7, 3]",1,"[4, 0, 12, 16]",128
"[14, 6, 15, 7]",5,"[13, 6, 15, 10]",8
"[0, 13, 1, 14]",0,"[0, 0, 16, 16]",256
"[2, 5, 3, 6]",0,"[0, 0, 16, 16]",256
"[7, 7, 8, 8]",6,"[7, 7, 9, 9]",4
"[13, 12, 14, 13]",6,"[10, 8, 12, 10]",4
"[15, 0, 16, 1]",1,"[8, 0, 16, 16]",128
"[13, 6, 14, 7]",5,"[12, 6, 14, 10]",8
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[8, 0, 9, 1]",1,"[4, 0, 12, 16]",128
"[11, 11, 12, 12]",6,"[4, 0, 6, 2]",4
"[10, 14, 11, 15]",6,"[9, 12, 11, 14]",4
"[4, 2, 5, 3]",1,"[4, 0, 12, 16]",128
"[8, 3, 9, 4]",1,"[4, 0, 12, 16]",128
"[3, 8, 4, 9]",0,"[0, 0, 16, 16]",256
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[4, 12, 5, 13]",2,"[4, 8, 12, 16]",64
"[6, 10, 7, 11]",4,"[6, 8, 10, 12]",16
"[6, 13, 7, 14]",4,"[6, 10, 10, 14]",16
"[3, 3, 4, 4]",0,"[0, 0, 16, 16]",256
"[15, 3, 16, 4]",1,"[8, 0, 16, 16]",128
"[14, 15, 15, 16]",6,"[0, 0, 2, 2]",4
"[5, 14, 6, 15]",2,"[4, 8, 12, 16]",64
"[10, 4, 11, 5]",3,"[8, 4, 12, 12]",32
"[13, 8, 14, 9]",6,"[10, 4, 12, 6]",4
"[12, 2, 13, 3]",1,"[8, 0, 16, 16]",128
"[10, 7, 11, 8]",6,"[9, 6, 11, 8]",4
"[14, 7, 15, 8]",6,"[13, 6, 15, 8]",4
"[11, 15, 12, 16]",6,"[0, 0, 2, 2]",4
"[13, 0, 14, 1]",1,"[8, 0, 16, 16]",128
"[14, 0, 15, 1]",1,"[8, 0, 16, 16]",128
"[12, 14, 13, 15]",6,"[11, 12, 13, 14]",4
"[7, 13, 8, 14]",6,"[6, 10, 8, 12]",4
"[7, 8, 8, 9]",6,"[7, 7, 9, 9]",4
"[15, 15, 16, 16]",6,"[0, 0, 2, 2]",4
"[4, 7, 5, 8]",2,"[4, 4, 12, 12]",64
"[14, 9, 15, 10]",6,"[12, 6, 14, 8]",4
"[11, 15, 12, 16]",6,"[0, 0, 2, 2]",4
"[4, 2, 5, 3]",1,"[4, 0, 12, 16]",128
"[6, 9, 7, 10]",4,"[6, 6, 10, 10]",16
"[3, 1, 4, 2]",0,"[0, 0, 16, 16]",256
"[4, 10, 5, 11]",2,"[4, 4, 12, 12]",64
"[1, 10, 2, 11]",0,"[0, 0, 16, 16]",256
"[5, 14, 6, 15]",2,"[4, 8, 12, 16]",64
"[12, 6, 13, 7]",5,"[11, 6, 13, 10]",8
"[13, 15, 14, 16]",6,"[0, 0, 2, 2]",4
"[6, 5, 7, 6]",3,"[6, 4, 10, 12]",32
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[10, 6, 11, 7]",5,"[9, 6, 11, 10]",8
"[10, 5, 11, 6]",3,"[8, 4, 12, 12]",32
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[15, 6, 16, 7]",5,"[14, 6, 16, 10]",8
"[14, 1, 15, 2]",1,"[8, 0, 16, 16]",128
"[7, 15, 8, 16]",6,"[0, 0, 2, 2]",4
"[10, 6, 11, 7]",5,"[9, 6, 11, 10]",8
"[0, 1, 1, 2]",0,"[0, 0, 16, 16]",256
"[1, 4, 2, 5]",0,"[0, 0, 16, 16]",256
"[7, 14, 8, 15]",6,"[7, 13, 9, 15]",4
"[7, 3, 8, 4]",1,"[4, 0, 12, 16]",128
"[13, 9, 14, 10]",6,"[10, 4, 12, 6]",4
"[10, 15, 11, 16]",6,"[0, 0, 2, 2]",4
"[6, 5, 7, 6]",3,"[6, 4, 10, 12]",32
"[11, 11, 12, 12]",6,"[4, 0, 6, 2]",4
"[14, 12, 15, 13]",6,"[13, 10, 15, 12]",4
"[14, 10, 15, 11]",6,"[13, 8, 15, 10]",4
"[14, 2, 15, 3]",1,"[8, 0, 16, 16]",128
"[4, 7, 5, 8]",2,"[4, 4, 12, 12]",64
"[3, 4, 4, 5]",0,"[0, 0, 16, 16]",256
"[12, 14, 13, 15]",6,"[11, 12, 13, 14]",4
"[6, 11, 7, 12]",4,"[6, 8, 10, 12]",16
"[1, 0, 2, 1]",0,"[0, 0, 16, 16]",256
"[12, 6, 13, 7]",5,"[11, 6, 13, 10]",8
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[13, 6, 14, 7]",5,"[12, 6, 14, 10]",8
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[15, 9, 16, 10]",6,"[8, 0, 10, 2]",4
"[12, 2, 13, 3]",1,"[8, 0, 16, 16]",128
"[2, 15, 3, 16]",0,"[0, 0, 16, 16]",256
"[0, 6, 1, 7]",0,"[0, 0, 16, 16]",256
"[13, 11, 14, 12]",6,"[8, 4, 10, 6]",4
"[9, 2, 10, 3]",1,"[4, 0, 12, 16]",128
"[0, 7, 1, 8]",0,"[0, 0, 16, 16]",256
"[0, 11, 1, 12]",0,"[0, 0, 16, 16]",256
"[4, 14, 5, 15]",2,"[4, 8, 12, 16]",64
"[8, 3, 9, 4]",1,"[4, 0, 12, 16]",128
"[14, 8, 15, 9]",6,"[13, 6, 15, 8]",4
