SRC_random Query: Small,Depth,BBoxes,Data Size
"[1, 10, 2, 11]",6,"[1, 10, 3, 12]",4
"[4, 11, 5, 12]",6,"[3, 10, 5, 12]",4
"[4, 15, 5, 16]",6,"[4, 14, 6, 16]",4
"[7, 12, 8, 13]",6,"[6, 12, 8, 14]",4
"[6, 6, 7, 7]",6,"[5, 6, 7, 8]",4
"[10, 9, 11, 10]",6,"[10, 8, 12, 10]",4
"[5, 8, 6, 9]",6,"[5, 8, 7, 10]",4
"[3, 2, 4, 3]",6,"[2, 2, 4, 4]",4
"[9, 1, 10, 2]",6,"[9, 1, 11, 3]",4
"[9, 1, 10, 2]",6,"[9, 1, 11, 3]",4
"[8, 7, 9, 8]",6,"[8, 7, 10, 9]",4
"[11, 5, 12, 6]",6,"[10, 4, 12, 6]",4
"[2, 9, 3, 10]",6,"[1, 9, 3, 11]",4
"[13, 3, 14, 4]",6,"[13, 3, 15, 5]",4
"[15, 1, 16, 2]",6,"[14, 0, 16, 2]",4
"[9, 4, 10, 5]",6,"[8, 4, 10, 6]",4
"[5, 7, 6, 8]",6,"[4, 6, 6, 8]",4
"[6, 1, 7, 2]",6,"[6, 1, 8, 3]",4
"[15, 3, 16, 4]",6,"[14, 2, 16, 4]",4
"[12, 14, 13, 15]",6,"[12, 13, 14, 15]",4
"[5, 7, 6, 8]",6,"[4, 6, 6, 8]",4
"[14, 4, 15, 5]",6,"[14, 4, 16, 6]",4
"[9, 8, 10, 9]",6,"[9, 8, 11, 10]",4
"[15, 9, 16, 10]",6,"[14, 9, 16, 11]",4
"[12, 12, 13, 13]",6,"[12, 11, 14, 13]",4
"[8, 5, 9, 6]",6,"[8, 5, 10, 7]",4
"[14, 1, 15, 2]",6,"[13, 0, 15, 2]",4
"[3, 8, 4, 9]",6,"[2, 8, 4, 10]",4
"[0, 0, 1, 1]",6,"[0, 0, 2, 2]",4
"[11, 11, 12, 12]",6,"[10, 10, 12, 12]",4
"[8, 11, 9, 12]",6,"[7, 10, 9, 12]",4
"[15, 4, 16, 5]",6,"[14, 3, 16, 5]",4
"[4, 2, 5, 3]",6,"[4, 2, 6, 4]",4
"[4, 10, 5, 11]",6,"[4, 10, 6, 12]",4
"[14, 5, 15, 6]",6,"[14, 4, 16, 6]",4
"[13, 4, 14, 5]",6,"[12, 4, 14, 6]",4
"[13, 8, 14, 9]",6,"[12, 7, 14, 9]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[4, 2, 5, 3]",6,"[4, 1, 6, 3]",4
"[1, 12, 2, 13]",6,"[0, 12, 2, 14]",4
