SRC_middle Query: Large,Depth,# Hops,BBoxes,Data Size
"[323323, 18890, 463170, 158737]",1,1,"[69337, 9783, 474275, 219328]",309
"[214582, 48970, 354429, 188817]",1,1,"[69337, 9783, 474275, 219328]",309
"[46500, 77333, 186347, 217180]",0,0,"[8117, 9783, 474275, 219328]",617
"[228439, 165081, 368286, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[296882, 226613, 436729, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[82714, 318011, 222561, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[229465, 164369, 369312, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[194010, 52448, 333857, 192295]",1,1,"[69337, 9783, 474275, 219328]",309
"[138171, 241326, 278018, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[201713, 285574, 341560, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[38450, 205475, 178297, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[222354, 12535, 362201, 152382]",1,1,"[69337, 9783, 474275, 219328]",309
"[226863, 176240, 366710, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[239483, 115066, 379330, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[202940, 161896, 342787, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[254997, 55856, 394844, 195703]",1,1,"[69337, 9783, 474275, 219328]",309
"[105350, 65062, 245197, 204909]",1,1,"[69337, 9783, 474275, 219328]",309
"[153329, 66920, 293176, 206767]",1,1,"[69337, 9783, 474275, 219328]",309
"[300764, 325597, 440611, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[88793, 242035, 228640, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[217190, 105309, 357037, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[229211, 234460, 369058, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[99729, 138118, 239576, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[245853, 186578, 385700, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[282502, 82863, 422349, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[194431, 250566, 334278, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[53467, 261499, 193314, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[114882, 162639, 254729, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[9083, 243568, 148930, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[332512, 250343, 472359, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[12194, 122796, 152041, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[164648, 68125, 304495, 207972]",1,1,"[69337, 9783, 474275, 219328]",309
"[166011, 293963, 305858, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[327492, 90021, 467339, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[230524, 255284, 370371, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[56641, 269044, 196488, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[129941, 293193, 269788, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[220613, 154963, 360460, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[19451, 71467, 159298, 211314]",0,0,"[8117, 9783, 474275, 219328]",617
"[149715, 29375, 289562, 169222]",1,1,"[69337, 9783, 474275, 219328]",309
"[8249, 142636, 148096, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[217008, 283945, 356855, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[313051, 215858, 452898, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[241207, 61611, 381054, 201458]",1,1,"[69337, 9783, 474275, 219328]",309
"[140556, 193621, 280403, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[156698, 110893, 296545, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[320283, 52817, 460130, 192664]",1,1,"[69337, 9783, 474275, 219328]",309
"[26703, 45056, 166550, 184903]",0,0,"[8117, 9783, 474275, 219328]",617
"[145735, 168341, 285582, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[287897, 186317, 427744, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[70079, 286086, 209926, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[138689, 93866, 278536, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[43817, 225607, 183664, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[159999, 156358, 299846, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[280659, 78592, 420506, 218439]",1,1,"[69337, 9783, 474275, 219328]",309
"[309048, 282351, 448895, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[118363, 286710, 258210, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[63327, 223496, 203174, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[293105, 219621, 432952, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[154191, 161342, 294038, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[240043, 203049, 379890, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[306034, 80370, 445881, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[90466, 72760, 230313, 212607]",1,1,"[69337, 9783, 474275, 219328]",309
"[71303, 208094, 211150, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[218470, 318003, 358317, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[253453, 81272, 393300, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[301515, 164858, 441362, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[193745, 255929, 333592, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[225752, 122417, 365599, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[258053, 264419, 397900, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[271082, 174966, 410929, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[266444, 39690, 406291, 179537]",1,1,"[69337, 9783, 474275, 219328]",309
"[240891, 165500, 380738, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[82991, 267913, 222838, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[35592, 333774, 175439, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[121213, 21510, 261060, 161357]",1,1,"[69337, 9783, 474275, 219328]",309
"[194449, 255333, 334296, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[213095, 13417, 352942, 153264]",1,1,"[69337, 9783, 474275, 219328]",309
"[284326, 42959, 424173, 182806]",1,1,"[69337, 9783, 474275, 219328]",309
"[50779, 215271, 190626, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[11484, 197530, 151331, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[29706, 69014, 169553, 208861]",0,0,"[8117, 9783, 474275, 219328]",617
"[333635, 10078, 473482, 149925]",1,1,"[69337, 9783, 474275, 219328]",309
"[149846, 161485, 289693, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[126966, 81873, 266813, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[308455, 159072, 448302, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[108363, 63408, 248210, 203255]",1,1,"[69337, 9783, 474275, 219328]",309
"[235667, 249758, 375514, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[181234, 209511, 321081, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[96331, 181496, 236178, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[229214, 236323, 369061, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[85721, 242626, 225568, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[85449, 282928, 225296, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[173829, 75867, 313676, 215714]",1,1,"[69337, 9783, 474275, 219328]",309
"[117622, 106066, 257469, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[240966, 191181, 380813, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[211999, 232140, 351846, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[266044, 212346, 405891, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[123543, 110979, 263390, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[238422, 115212, 378269, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[315627, 34223, 455474, 174070]",1,1,"[69337, 9783, 474275, 219328]",309
"[211722, 25564, 351569, 165411]",1,1,"[69337, 9783, 474275, 219328]",309
"[130815, 52501, 270662, 192348]",1,1,"[69337, 9783, 474275, 219328]",309
"[106030, 198753, 245877, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[37996, 99014, 177843, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[130309, 328341, 270156, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[164106, 329246, 303953, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[53535, 276614, 193382, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[157237, 193227, 297084, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[223826, 248395, 363673, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[36397, 278714, 176244, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[294997, 233877, 434844, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[312707, 246459, 452554, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[265124, 141680, 404971, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[257495, 121058, 397342, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[184903, 147510, 324750, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[30260, 31084, 170107, 170931]",0,0,"[8117, 9783, 474275, 219328]",617
"[35670, 93501, 175517, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[191514, 10148, 331361, 149995]",1,1,"[69337, 9783, 474275, 219328]",309
"[160060, 11855, 299907, 151702]",1,1,"[69337, 9783, 474275, 219328]",309
"[81730, 41508, 221577, 181355]",1,1,"[69337, 9783, 474275, 219328]",309
"[232378, 124596, 372225, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[327218, 216004, 467065, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[300548, 123970, 440395, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[245988, 109225, 385835, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[186114, 327051, 325961, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[61772, 326021, 201619, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[53006, 175380, 192853, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[177424, 289083, 317271, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[247058, 178585, 386905, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[142072, 23231, 281919, 163078]",1,1,"[69337, 9783, 474275, 219328]",309
"[281790, 31370, 421637, 171217]",1,1,"[69337, 9783, 474275, 219328]",309
"[107800, 201424, 247647, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[50120, 118003, 189967, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[283113, 189388, 422960, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[106570, 113824, 246417, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[139858, 166096, 279705, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[171816, 279121, 311663, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[209795, 141621, 349642, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[260868, 188440, 400715, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[133926, 31449, 273773, 171296]",1,1,"[69337, 9783, 474275, 219328]",309
"[168451, 297510, 308298, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[46042, 12944, 185889, 152791]",0,0,"[8117, 9783, 474275, 219328]",617
"[249777, 267797, 389624, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[237859, 33004, 377706, 172851]",1,1,"[69337, 9783, 474275, 219328]",309
"[224186, 266896, 364033, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[249557, 238860, 389404, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[70047, 53004, 209894, 192851]",1,1,"[69337, 9783, 474275, 219328]",309
"[50834, 134546, 190681, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[59880, 88750, 199727, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[225178, 120034, 365025, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[239139, 329377, 378986, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[48562, 231954, 188409, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[301199, 214933, 441046, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[28748, 102692, 168595, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[139046, 265025, 278893, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[123486, 75270, 263333, 215117]",1,1,"[69337, 9783, 474275, 219328]",309
"[154391, 192720, 294238, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[175677, 236100, 315524, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[64365, 300173, 204212, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[157804, 327975, 297651, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[291796, 113595, 431643, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[163642, 239738, 303489, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[277619, 325138, 417466, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[250378, 289221, 390225, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[144949, 151009, 284796, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[129640, 16798, 269487, 156645]",1,1,"[69337, 9783, 474275, 219328]",309
"[70365, 330486, 210212, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[59969, 98596, 199816, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[225518, 138546, 365365, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[122445, 157306, 262292, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[11493, 288885, 151340, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[278273, 232653, 418120, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[34211, 71972, 174058, 211819]",0,0,"[8117, 9783, 474275, 219328]",617
"[209807, 150977, 349654, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[70111, 304165, 209958, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[196286, 128473, 336133, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[294712, 156053, 434559, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[124277, 134017, 264124, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[42084, 279778, 181931, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[169345, 179721, 309192, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[130592, 203779, 270439, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[259916, 158499, 399763, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[313284, 97970, 453131, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[80095, 16242, 219942, 156089]",1,1,"[69337, 9783, 474275, 219328]",309
"[298112, 272803, 437959, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[180023, 200524, 319870, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[315051, 21374, 454898, 161221]",1,1,"[69337, 9783, 474275, 219328]",309
"[76181, 215515, 216028, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[89509, 100792, 229356, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[275752, 48202, 415599, 188049]",1,1,"[69337, 9783, 474275, 219328]",309
"[79200, 116384, 219047, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[268550, 306697, 408397, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[120030, 131490, 259877, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[77390, 130637, 217237, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[209761, 193433, 349608, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[327145, 317985, 466992, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[77606, 269456, 217453, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[64747, 331087, 204594, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[21756, 284120, 161603, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[320658, 196134, 460505, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[264598, 246984, 404445, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[169964, 14741, 309811, 154588]",1,1,"[69337, 9783, 474275, 219328]",309
"[123498, 299370, 263345, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[93595, 267481, 233442, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[260255, 294393, 400102, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[172713, 49416, 312560, 189263]",1,1,"[69337, 9783, 474275, 219328]",309
"[143990, 80177, 283837, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[324947, 218804, 464794, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[108290, 174012, 248137, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[161066, 209491, 300913, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[39144, 117516, 178991, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[28190, 173350, 168037, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[138983, 188034, 278830, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[239430, 126562, 379277, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[144487, 188562, 284334, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[93225, 167973, 233072, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[17017, 194951, 156864, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[308844, 290977, 448691, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[38621, 87397, 178468, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[193410, 19644, 333257, 159491]",1,1,"[69337, 9783, 474275, 219328]",309
"[265598, 40267, 405445, 180114]",1,1,"[69337, 9783, 474275, 219328]",309
"[20995, 134715, 160842, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[31690, 14639, 171537, 154486]",0,0,"[8117, 9783, 474275, 219328]",617
"[126488, 179385, 266335, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[43005, 40835, 182852, 180682]",0,0,"[8117, 9783, 474275, 219328]",617
"[188958, 229708, 328805, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[79341, 121638, 219188, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[243504, 236294, 383351, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[82594, 195830, 222441, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[171669, 100882, 311516, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[180509, 222357, 320356, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[208745, 13167, 348592, 153014]",1,1,"[69337, 9783, 474275, 219328]",309
"[222699, 146393, 362546, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[287932, 286690, 427779, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[250678, 30105, 390525, 169952]",1,1,"[69337, 9783, 474275, 219328]",309
"[304197, 72392, 444044, 212239]",1,1,"[69337, 9783, 474275, 219328]",309
"[222516, 212746, 362363, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[97935, 9783, 237782, 149594]",1,1,"[69337, 9783, 474275, 219328]",309
"[270551, 80587, 410398, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[334142, 277566, 473989, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[85799, 49875, 225646, 189722]",1,1,"[69337, 9783, 474275, 219328]",309
"[181158, 132572, 321005, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[100535, 137508, 240382, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[19638, 96639, 159485, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[302456, 96362, 442303, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[49267, 232080, 189114, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[321577, 62463, 461424, 202310]",1,1,"[69337, 9783, 474275, 219328]",309
"[333443, 247984, 473290, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[86797, 330521, 226644, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[323722, 29114, 463569, 168961]",1,1,"[69337, 9783, 474275, 219328]",309
"[140485, 186506, 280332, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[205520, 22412, 345367, 162259]",1,1,"[69337, 9783, 474275, 219328]",309
"[27157, 268344, 167004, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[55103, 196003, 194950, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[161594, 87184, 301441, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[248302, 131925, 388149, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[274160, 194663, 414007, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[93200, 220302, 233047, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[185140, 149590, 324987, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[266230, 213948, 406077, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[15868, 171046, 155715, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[286168, 159231, 426015, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[296710, 253964, 436557, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[26429, 286929, 166276, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[307222, 297574, 447069, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[145714, 28197, 285561, 168044]",1,1,"[69337, 9783, 474275, 219328]",309
"[247149, 215244, 386996, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[71039, 219813, 210886, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[189829, 268166, 329676, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[34935, 18961, 174782, 158808]",0,0,"[8117, 9783, 474275, 219328]",617
"[151273, 26086, 291120, 165933]",1,1,"[69337, 9783, 474275, 219328]",309
"[141244, 313254, 281091, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[160043, 116695, 299890, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[285607, 278786, 425454, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[186521, 210529, 326368, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[139521, 117677, 279368, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[68931, 304884, 208778, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[180839, 135333, 320686, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[315426, 287447, 455273, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[193377, 93340, 333224, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[88362, 181477, 228209, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[12883, 314790, 152730, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[34989, 304271, 174836, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[89993, 188776, 229840, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[198534, 160784, 338381, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[161955, 177463, 301802, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[267565, 219750, 407412, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[323058, 234088, 462905, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[97264, 9783, 237111, 148494]",1,1,"[69337, 9783, 474275, 219328]",309
"[81915, 306228, 221762, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[30976, 239794, 170823, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[74097, 187080, 213944, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[13002, 259991, 152849, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[143173, 329092, 283020, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[106502, 44946, 246349, 184793]",1,1,"[69337, 9783, 474275, 219328]",309
"[295886, 230351, 435733, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[154239, 99255, 294086, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[285743, 97171, 425590, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[41297, 90640, 181144, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[312039, 65816, 451886, 205663]",1,1,"[69337, 9783, 474275, 219328]",309
"[272317, 293027, 412164, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[325335, 209809, 465182, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[235992, 147451, 375839, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[171379, 157519, 311226, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[15265, 232881, 155112, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[155148, 143483, 294995, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[290116, 284555, 429963, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[298866, 174803, 438713, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[187561, 107725, 327408, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[234450, 82412, 374297, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[11224, 276207, 151071, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[89556, 303440, 229403, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[209519, 197354, 349366, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[251455, 27184, 391302, 167031]",1,1,"[69337, 9783, 474275, 219328]",309
"[302556, 223933, 442403, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[330099, 127813, 469946, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[16344, 198025, 156191, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[285515, 91225, 425362, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[110095, 193963, 249942, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[268682, 18152, 408529, 157999]",1,1,"[69337, 9783, 474275, 219328]",309
"[138766, 307778, 278613, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[135036, 152019, 274883, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[105184, 228308, 245031, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[48971, 308607, 188818, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[243092, 132233, 382939, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[243865, 274926, 383712, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[60766, 106829, 200613, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[94355, 239063, 234202, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[42316, 231855, 182163, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[215075, 150646, 354922, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[140597, 237344, 280444, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
