,Laenge,Breite
3657,13.41305556,52.51611111
3667,13.41861111,52.49916667
3895,13.38166667,52.50388889
3904,13.34416667,52.4425
3913,13.3325,52.4525
3915,13.34388889,52.45305556
3917,13.31111111,52.43166667
3921,13.28888889,52.44444444
3922,13.3025,52.4475
3923,13.31305556,52.45333333
3926,13.32361111,52.4575
3927,13.31194444,52.46666667
3929,13.33166667,52.47138889
3931,13.33777778,52.47666667
3932,13.34305556,52.47916667
3939,13.37583333,52.46888889
3941,13.43,52.46611111
3943,13.47388889,52.48138889
3944,13.47055556,52.49444444
3947,13.46944444,52.505
3950,13.48472222,52.50194444
3960,13.45027778,52.50833333
4132,13.39972222,52.54388889
4135,13.41166667,52.54138889
4192,13.43277778,52.52277778
4315,13.44833333,52.52694444
4320,13.43888889,52.53388889
4681,13.41472222,52.52083333
4815,13.15055556,52.54361111
4822,11.33333333,52.5175
4826,10.77666667,52.42777778
4831,10.55361111,52.45638889
4841,10.17638889,52.41666667
4849,10.08388889,52.39166667
4850,9.9925,52.37861111
4851,10.04833333,52.37472222
4855,9.751666667,52.37555556
4857,9.743055556,52.37777778
4858,9.721944444,52.39222222
4860,9.689722222,52.39333333
4861,9.208611111,52.37916667
4862,8.951666667,52.30333333
4865,8.885555556,52.2125
4867,8.811666667,52.21027778
4869,8.6675,52.16027778
4877,8.496666667,51.98972222
4880,8.031388889,51.79555556
4882,7.959166667,51.79138889
4884,7.908333333,51.75888889
4890,7.817222222,51.66611111
4891,7.780833333,51.63555556
4892,7.730555556,51.54388889
4896,7.697777778,51.53805556
4897,7.663055556,51.53694444
4898,7.567777778,51.45083333
4899,7.566111111,51.44083333
4900,7.451111111,51.38472222
4901,7.456388889,51.37694444
4902,7.464166667,51.37138889
4903,7.464722222,51.36361111
4904,7.442222222,51.3475
4906,7.3925,51.33777778
4907,7.345,51.34305556
4908,7.332222222,51.31111111
4910,7.286388889,51.29472222
4911,7.26,51.28194444
4912,7.225555556,51.27333333
4914,7.212777778,51.27333333
4915,7.165277778,51.25527778
4917,7.130277778,51.25194444
4918,7.103055556,51.24194444
4919,6.997222222,51.18166667
4920,7.002222222,51.16888889
4921,7.018055556,51.02472222
4923,7.015555556,50.97805556
4926,7.018055556,50.96833333
4929,6.987222222,50.94416667
4932,6.971944444,50.94111111
4934,6.960277778,50.94388889
4937,6.955,50.94138889
4942,6.958611111,50.95027778
4957,6.939722222,50.94055556
4959,6.939166667,50.94083333
4963,6.925555556,50.94111111
4964,6.929722222,50.94527778
5007,6.931666667,50.93555556
5014,6.965,50.92527778
5015,6.9775,50.93555556
5016,6.981944444,50.94222222
5019,6.983333333,50.94805556
5020,6.981944444,50.94722222
5024,6.980833333,50.94777778
5025,6.983055556,50.9475
5051,6.974722222,50.94361111
5058,7.018055556,50.95916667
5062,7.007222222,51.21361111
5066,7.146666667,51.25305556
5067,7.149166667,51.24444444
5076,7.325833333,51.28916667
5078,7.366388889,51.3275
5080,7.413888889,51.34694444
5081,7.428055556,51.34805556
5082,7.451388889,51.35361111
5086,7.4625,51.36
5090,7.490277778,51.41111111
5092,7.587777778,51.49527778
5099,7.801111111,51.65111111
5111,8.315,51.85805556
5112,8.325277778,51.86916667
5113,8.486944444,51.98138889
5114,8.504444444,51.99694444
5116,8.549444444,52.04
5117,8.667222222,52.13055556
5121,8.931111111,52.29277778
5123,9.125555556,52.31027778
5125,9.39,52.42444444
5131,9.739444444,52.37555556
5137,9.976111111,52.37583333
5148,11.59111111,52.54305556
5157,13.3275,52.50444444
5162,13.3325,52.50388889
5165,13.33833333,52.49416667
5166,13.34666667,52.49694444
5169,13.3575,52.49583333
5191,13.35805556,52.50083333
5639,13.435,52.50416667
5712,13.44055556,52.51305556
