SRC_random Query: Large,Depth,BBoxes,Data Size
"[3, 19, 12, 28]",2,"[0, 16, 16, 32]",256
"[15, 4, 24, 13]",2,"[8, 0, 24, 16]",256
"[18, 12, 27, 21]",2,"[16, 8, 32, 24]",256
"[20, 21, 29, 30]",2,"[16, 16, 32, 32]",256
"[13, 16, 22, 25]",2,"[8, 16, 24, 32]",256
"[15, 21, 24, 30]",2,"[8, 16, 24, 32]",256
"[10, 15, 19, 24]",2,"[8, 8, 24, 24]",256
"[15, 20, 24, 29]",2,"[8, 16, 24, 32]",256
"[21, 6, 30, 15]",2,"[16, 0, 32, 16]",256
"[17, 19, 26, 28]",2,"[16, 16, 32, 32]",256
"[7, 0, 16, 9]",2,"[0, 0, 16, 16]",256
"[10, 22, 19, 31]",2,"[8, 16, 24, 32]",256
"[23, 10, 32, 19]",2,"[16, 8, 32, 24]",256
"[10, 1, 19, 10]",2,"[8, 0, 24, 16]",256
"[16, 4, 25, 13]",2,"[16, 0, 32, 16]",256
"[8, 19, 17, 28]",2,"[8, 16, 24, 32]",256
"[4, 12, 13, 21]",2,"[0, 8, 16, 24]",256
"[18, 9, 27, 18]",2,"[16, 8, 32, 24]",256
"[22, 22, 31, 31]",2,"[16, 16, 32, 32]",256
"[15, 2, 24, 11]",2,"[8, 0, 24, 16]",256
"[2, 16, 11, 25]",2,"[0, 16, 16, 32]",256
"[1, 2, 10, 11]",2,"[0, 0, 16, 16]",256
"[7, 4, 16, 13]",2,"[0, 0, 16, 16]",256
"[1, 9, 10, 18]",2,"[0, 8, 16, 24]",256
"[0, 14, 9, 23]",2,"[0, 8, 16, 24]",256
"[10, 5, 19, 14]",2,"[8, 0, 24, 16]",256
"[4, 20, 13, 29]",2,"[0, 16, 16, 32]",256
"[14, 11, 23, 20]",2,"[8, 8, 24, 24]",256
"[16, 12, 25, 21]",2,"[16, 8, 32, 24]",256
"[16, 16, 25, 25]",2,"[16, 16, 32, 32]",256
"[1, 18, 10, 27]",2,"[0, 16, 16, 32]",256
"[2, 21, 11, 30]",2,"[0, 16, 16, 32]",256
"[16, 19, 25, 28]",2,"[16, 16, 32, 32]",256
"[2, 23, 11, 32]",2,"[0, 16, 16, 32]",256
"[13, 6, 22, 15]",2,"[8, 0, 24, 16]",256
"[9, 17, 18, 26]",2,"[8, 16, 24, 32]",256
"[19, 13, 28, 22]",2,"[16, 8, 32, 24]",256
"[15, 12, 24, 21]",2,"[8, 8, 24, 24]",256
"[19, 18, 28, 27]",2,"[16, 16, 32, 32]",256
"[7, 0, 16, 9]",2,"[0, 0, 16, 16]",256
"[21, 0, 30, 9]",2,"[16, 0, 32, 16]",256
"[23, 5, 32, 14]",2,"[16, 0, 32, 16]",256
"[9, 16, 18, 25]",2,"[8, 16, 24, 32]",256
"[18, 8, 27, 17]",2,"[16, 8, 32, 24]",256
"[10, 2, 19, 11]",2,"[8, 0, 24, 16]",256
"[15, 8, 24, 17]",2,"[8, 8, 24, 24]",256
"[9, 13, 18, 22]",2,"[8, 8, 24, 24]",256
"[12, 12, 21, 21]",2,"[8, 8, 24, 24]",256
"[1, 5, 10, 14]",2,"[0, 0, 16, 16]",256
"[20, 4, 29, 13]",2,"[16, 0, 32, 16]",256
"[7, 9, 16, 18]",2,"[0, 8, 16, 24]",256
"[23, 10, 32, 19]",2,"[16, 8, 32, 24]",256
"[1, 1, 10, 10]",2,"[0, 0, 16, 16]",256
"[15, 13, 24, 22]",2,"[8, 8, 24, 24]",256
"[4, 15, 13, 24]",2,"[0, 8, 16, 24]",256
"[19, 22, 28, 31]",2,"[16, 16, 32, 32]",256
"[2, 21, 11, 30]",2,"[0, 16, 16, 32]",256
"[22, 4, 31, 13]",2,"[16, 0, 32, 16]",256
"[11, 13, 20, 22]",2,"[8, 8, 24, 24]",256
"[1, 19, 10, 28]",2,"[0, 16, 16, 32]",256
"[14, 12, 23, 21]",2,"[8, 8, 24, 24]",256
"[14, 1, 23, 10]",2,"[8, 0, 24, 16]",256
"[3, 15, 12, 24]",2,"[0, 8, 16, 24]",256
"[4, 0, 13, 9]",2,"[0, 0, 16, 16]",256
"[1, 19, 10, 28]",2,"[0, 16, 16, 32]",256
"[19, 4, 28, 13]",2,"[16, 0, 32, 16]",256
"[20, 10, 29, 19]",2,"[16, 8, 32, 24]",256
"[3, 22, 12, 31]",2,"[0, 16, 16, 32]",256
"[17, 20, 26, 29]",2,"[16, 16, 32, 32]",256
"[11, 6, 20, 15]",2,"[8, 0, 24, 16]",256
"[12, 15, 21, 24]",2,"[8, 8, 24, 24]",256
"[3, 1, 12, 10]",2,"[0, 0, 16, 16]",256
"[19, 22, 28, 31]",2,"[16, 16, 32, 32]",256
"[14, 19, 23, 28]",2,"[8, 16, 24, 32]",256
"[20, 10, 29, 19]",2,"[16, 8, 32, 24]",256
"[20, 3, 29, 12]",2,"[16, 0, 32, 16]",256
"[21, 22, 30, 31]",2,"[16, 16, 32, 32]",256
"[19, 9, 28, 18]",2,"[16, 8, 32, 24]",256
"[4, 12, 13, 21]",2,"[0, 8, 16, 24]",256
"[9, 23, 18, 32]",2,"[8, 16, 24, 32]",256
"[21, 3, 30, 12]",2,"[16, 0, 32, 16]",256
"[16, 6, 25, 15]",2,"[16, 0, 32, 16]",256
"[1, 12, 10, 21]",2,"[0, 8, 16, 24]",256
"[14, 11, 23, 20]",2,"[8, 8, 24, 24]",256
"[6, 14, 15, 23]",2,"[0, 8, 16, 24]",256
