,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
456,0,5262,5262,inf,0.0,2
457,593,1315,722,2.217537942664418,45.09505703422053,4
458,0,1315,1315,inf,0.0,4
459,0,1316,1316,inf,0.0,4
460,514,1316,802,2.5603112840466924,39.05775075987842,4
461,875,2631,1756,3.0068571428571427,33.257316609654126,3
462,520,5262,4742,10.11923076923077,9.882174078297226,2
463,82,329,247,4.012195121951219,24.924012158054712,6
464,0,1316,1316,inf,0.0,4
465,58,1316,1258,22.689655172413794,4.407294832826747,4
466,977,10524,9547,10.771750255885364,9.28354237932345,1
467,0,1316,1316,inf,0.0,4
468,854,1315,461,1.5398126463700235,64.94296577946767,4
469,882,5262,4380,5.965986394557823,16.76168757126568,2
470,0,1315,1315,inf,0.0,4
471,935,10524,9589,11.255614973262032,8.884454580007601,1
472,411,1316,905,3.201946472019465,31.231003039513677,4
473,1002,5262,4260,5.251497005988024,19.04218928164196,2
474,1540,5262,3722,3.416883116883117,29.266438616495627,2
475,995,2631,1636,2.644221105527638,37.81832003040669,3
476,833,1315,482,1.5786314525810323,63.346007604562736,4
477,306,5262,4956,17.19607843137255,5.815279361459521,2
478,660,1316,656,1.993939393939394,50.15197568389058,4
479,913,2631,1718,2.88170865279299,34.7016343595591,3
480,1058,5262,4204,4.973534971644613,20.106423413150893,2
481,674,2631,1957,3.9035608308605343,25.617635879893573,3
482,941,2631,1690,2.7959617428267802,35.765868491068034,3
483,795,10524,9729,13.237735849056603,7.554161915621436,1
484,265,1316,1051,4.966037735849056,20.13677811550152,4
485,1234,5262,4028,4.2641815235008105,23.451159255036107,2
486,960,10524,9564,10.9625,9.122006841505131,1
487,1119,2631,1512,2.351206434316354,42.53135689851767,3
488,787,2631,1844,3.343074968233799,29.912580767768908,3
489,24,1316,1292,54.833333333333336,1.82370820668693,4
490,315,1316,1001,4.177777777777778,23.93617021276596,4
491,134,1315,1181,9.813432835820896,10.190114068441064,4
492,1042,2631,1589,2.5249520153550864,39.60471303686811,3
493,529,2631,2102,4.973534971644613,20.106423413150893,3
494,658,5262,4604,7.996960486322188,12.50475104522995,2
495,0,1316,1316,inf,0.0,4
496,983,5262,4279,5.353001017293998,18.681109844165718,2
