SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[0, 25, 6, 31]",6,6,"[0, 24, 8, 32]",64
"[43, 26, 49, 32]",4,4,"[40, 24, 56, 40]",256
"[20, 0, 26, 6]",6,6,"[20, 0, 28, 8]",64
"[13, 0, 19, 6]",6,6,"[12, 0, 20, 8]",64
"[45, 48, 51, 54]",6,6,"[44, 48, 52, 56]",64
"[0, 52, 6, 58]",6,6,"[0, 52, 8, 60]",64
"[43, 33, 49, 39]",4,4,"[40, 24, 56, 40]",256
"[39, 6, 45, 12]",4,4,"[32, 0, 48, 16]",256
"[12, 7, 18, 13]",5,5,"[12, 0, 20, 16]",128
"[38, 41, 44, 47]",6,6,"[36, 40, 44, 48]",64
"[12, 55, 18, 61]",5,5,"[12, 48, 20, 64]",128
"[19, 17, 25, 23]",4,4,"[16, 16, 32, 32]",256
"[44, 11, 50, 17]",5,5,"[44, 8, 52, 24]",128
"[6, 30, 12, 36]",6,6,"[4, 28, 12, 36]",64
"[54, 25, 60, 31]",6,6,"[52, 24, 60, 32]",64
"[40, 5, 46, 11]",6,6,"[40, 4, 48, 12]",64
"[1, 17, 7, 23]",6,6,"[0, 16, 8, 24]",64
"[58, 28, 64, 34]",6,6,"[56, 28, 64, 36]",64
"[51, 50, 57, 56]",4,4,"[48, 40, 64, 56]",256
"[7, 55, 13, 61]",4,4,"[0, 48, 16, 64]",256
"[16, 8, 22, 14]",6,6,"[16, 8, 24, 16]",64
"[41, 33, 47, 39]",6,6,"[40, 32, 48, 40]",64
"[52, 41, 58, 47]",6,6,"[52, 40, 60, 48]",64
"[41, 22, 47, 28]",6,6,"[40, 20, 48, 28]",64
"[7, 55, 13, 61]",4,4,"[0, 48, 16, 64]",256
"[9, 17, 15, 23]",6,6,"[8, 16, 16, 24]",64
"[54, 1, 60, 7]",6,6,"[52, 0, 60, 8]",64
"[2, 2, 8, 8]",6,6,"[0, 0, 8, 8]",64
