,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
286,2461,10524,8063,4.276310442909386,1,23.3846446218168
287,1054,2631,1577,2.4962049335863377,3,40.060813378943365
288,670,1316,646,1.964179104477612,4,50.911854103343465
289,587,5262,4675,8.964224872231686,2,11.155454199923984
290,147,1315,1168,8.945578231292517,4,11.178707224334602
291,292,21048,20756,72.08219178082192,0,1.387305207145572
292,0,5262,5262,inf,2,0.0
293,977,21048,20071,21.543500511770727,0,4.641771189661725
294,3047,21048,18001,6.907778142435182,0,14.476434815659445
295,0,1316,1316,inf,4,0.0
296,625,5262,4637,8.4192,2,11.877613074876473
297,0,5262,5262,inf,2,0.0
298,1650,21048,19398,12.756363636363636,0,7.839224629418472
299,1218,2631,1413,2.1600985221674875,3,46.29418472063854
300,705,2631,1926,3.7319148936170214,3,26.795895096921324
301,1265,10524,9259,8.319367588932806,1,12.02014443177499
302,306,21048,20742,68.7843137254902,0,1.4538198403648803
303,1169,21048,19879,18.00513259195894,0,5.553971873812238
304,573,1316,743,2.2966841186736473,4,43.54103343465046
305,565,1315,750,2.327433628318584,4,42.96577946768061
306,81,328,247,4.049382716049383,6,24.695121951219512
307,1371,21048,19677,15.352297592997811,0,6.513683010262258
308,126,5262,5136,41.76190476190476,2,2.394526795895097
309,129,5262,5133,40.7906976744186,2,2.451539338654504
310,987,21048,20061,21.325227963525837,0,4.689281641961231
311,834,5262,4428,6.309352517985611,2,15.849486887115166
312,396,1315,919,3.3207070707070705,4,30.11406844106464
313,276,5262,4986,19.065217391304348,2,5.245153933865451
314,0,5262,5262,inf,2,0.0
315,477,1315,838,2.756813417190776,4,36.27376425855513
316,2927,10524,7597,3.5954902630679877,1,27.812618776130748
317,3693,10524,6831,2.849715678310317,1,35.091220068415055
318,0,328,328,inf,6,0.0
319,1554,10524,8970,6.772200772200772,1,14.766248574686431
320,1110,21048,19938,18.962162162162162,0,5.273660205245154
321,1997,21048,19051,10.539809714571858,0,9.487837324211327
322,2045,21048,19003,10.29242053789731,0,9.715887495248955
323,1659,5262,3603,3.1717902350813745,2,31.527936145952108
324,1345,2631,1286,1.9561338289962826,3,51.12124667426834
325,1130,5262,4132,4.656637168141593,2,21.474724439376665
326,1547,10524,8977,6.80284421460892,1,14.699733941467121
327,2140,5262,3122,2.458878504672897,2,40.668947168377045
328,2274,21048,18774,9.255936675461742,0,10.80387685290764
329,2371,10524,8153,4.4386334879797555,1,22.529456480425694
330,468,21048,20580,44.97435897435897,0,2.2234891676168758
331,757,10524,9767,13.902245706737121,1,7.193082478145192
332,963,5262,4299,5.464174454828661,2,18.30102622576967
333,1705,10524,8819,6.172434017595308,1,16.20106423413151
334,2017,10524,8507,5.217649975210709,1,19.165716457620675
335,890,21048,20158,23.64943820224719,0,4.228430254656025
336,299,5262,4963,17.598662207357858,2,5.682250095020905
337,1970,5262,3292,2.671065989847716,2,37.438236412010646
338,0,1315,1315,inf,4,0.0
339,953,1315,362,1.379853095487933,4,72.47148288973384
340,820,10524,9704,12.834146341463414,1,7.791714177118966
341,1039,2631,1592,2.5322425409047162,3,39.490687951349294
342,1799,10524,8725,5.8499166203446356,1,17.09426073736222
343,693,1315,622,1.8975468975468976,4,52.69961977186311
344,1534,10524,8990,6.860495436766623,1,14.576206765488408
345,362,21048,20686,58.14364640883978,0,1.7198783732421132
346,0,5262,5262,inf,2,0.0
347,382,5262,4880,13.774869109947645,2,7.2595971113645
348,1740,10524,8784,6.048275862068966,1,16.53363740022805
349,3164,21048,17884,6.652338811630847,0,15.032307107563664
350,595,21048,20453,35.37478991596639,0,2.8268719118206005
351,6,1316,1310,219.33333333333334,4,0.4559270516717325
352,0,5262,5262,inf,2,0.0
353,1377,10524,9147,7.642701525054466,1,13.084378563283922
354,828,21048,20220,25.420289855072465,0,3.9338654503990877
355,2139,10524,8385,4.920056100981768,1,20.32497149372862
356,330,5262,4932,15.945454545454545,2,6.2713797035347785
357,3144,10524,7380,3.3473282442748094,1,29.874572405929307
