BRC Query: Medium,Points,# Of Points
"[2, 11, 5, 14]","[(2, 11), (3, 11), (2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (3, 14), (4, 11), (5, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (5, 14)]",16
"[1, 7, 4, 10]","[(1, 7), (2, 7), (3, 7), (4, 7), (1, 8), (1, 9), (1, 10), (2, 8), (2, 9), (3, 8), (3, 9), (2, 10), (3, 10), (4, 8), (4, 9), (4, 10)]",16
"[3, 11, 6, 14]","[(3, 11), (3, 12), (3, 13), (3, 14), (4, 11), (5, 11), (6, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (5, 14), (6, 12), (6, 13), (6, 14)]",16
"[12, 0, 15, 3]","[(12, 0), (12, 1), (13, 0), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3), (14, 0), (14, 1), (15, 0), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3)]",16
"[10, 0, 13, 3]","[(10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (12, 0), (12, 1), (13, 0), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3)]",16
"[8, 6, 11, 9]","[(8, 6), (8, 7), (9, 6), (9, 7), (10, 6), (10, 7), (11, 6), (11, 7), (8, 8), (8, 9), (9, 8), (9, 9), (10, 8), (10, 9), (11, 8), (11, 9)]",16
"[9, 1, 12, 4]","[(9, 1), (9, 2), (9, 3), (10, 1), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (9, 4), (10, 4), (11, 4), (12, 1), (12, 2), (12, 3), (12, 4)]",16
"[13, 4, 16, 7]","[(13, 4), (13, 5), (13, 6), (13, 7), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7)]",12
"[1, 3, 4, 6]","[(1, 3), (2, 3), (3, 3), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (3, 6), (4, 3), (4, 4), (4, 5), (4, 6)]",16
"[1, 10, 4, 13]","[(1, 10), (1, 11), (2, 10), (2, 11), (3, 10), (3, 11), (1, 12), (1, 13), (2, 12), (2, 13), (3, 12), (3, 13), (4, 10), (4, 11), (4, 12), (4, 13)]",16
