,BBOX,Depth
354,"[4, 12, 6, 14]",6
355,"[4, 13, 6, 15]",6
356,"[4, 14, 6, 16]",6
357,"[5, 12, 7, 16]",5
358,"[5, 12, 7, 14]",6
359,"[5, 13, 7, 15]",6
360,"[5, 14, 7, 16]",6
361,"[6, 12, 8, 16]",5
362,"[6, 12, 8, 14]",6
363,"[6, 13, 8, 15]",6
364,"[6, 14, 8, 16]",6
365,"[4, 0, 12, 16]",1
366,"[4, 0, 12, 8]",2
367,"[4, 0, 8, 8]",3
368,"[4, 0, 8, 4]",4
369,"[4, 0, 6, 4]",5
370,"[4, 0, 6, 2]",6
371,"[4, 1, 6, 3]",6
372,"[4, 2, 6, 4]",6
373,"[5, 0, 7, 4]",5
374,"[5, 0, 7, 2]",6
375,"[5, 1, 7, 3]",6
376,"[5, 2, 7, 4]",6
377,"[6, 0, 8, 4]",5
378,"[6, 0, 8, 2]",6
379,"[6, 1, 8, 3]",6
380,"[6, 2, 8, 4]",6
381,"[4, 2, 8, 6]",4
382,"[4, 2, 6, 6]",5
383,"[4, 2, 6, 4]",6
384,"[4, 3, 6, 5]",6
385,"[4, 4, 6, 6]",6
386,"[5, 2, 7, 6]",5
387,"[5, 2, 7, 4]",6
388,"[5, 3, 7, 5]",6
389,"[5, 4, 7, 6]",6
390,"[6, 2, 8, 6]",5
391,"[6, 2, 8, 4]",6
392,"[6, 3, 8, 5]",6
393,"[6, 4, 8, 6]",6
394,"[4, 4, 8, 8]",4
395,"[4, 4, 6, 8]",5
396,"[4, 4, 6, 6]",6
397,"[4, 5, 6, 7]",6
398,"[4, 6, 6, 8]",6
399,"[5, 4, 7, 8]",5
400,"[5, 4, 7, 6]",6
401,"[5, 5, 7, 7]",6
402,"[5, 6, 7, 8]",6
403,"[6, 4, 8, 8]",5
404,"[6, 4, 8, 6]",6
405,"[6, 5, 8, 7]",6
406,"[6, 6, 8, 8]",6
407,"[6, 0, 10, 8]",3
408,"[6, 0, 10, 4]",4
409,"[6, 0, 8, 4]",5
410,"[6, 0, 8, 2]",6
411,"[6, 1, 8, 3]",6
412,"[6, 2, 8, 4]",6
413,"[7, 0, 9, 4]",5
414,"[7, 0, 9, 2]",6
415,"[7, 1, 9, 3]",6
416,"[7, 2, 9, 4]",6
417,"[8, 0, 10, 4]",5
418,"[8, 0, 10, 2]",6
419,"[8, 1, 10, 3]",6
420,"[8, 2, 10, 4]",6
421,"[6, 2, 10, 6]",4
422,"[6, 2, 8, 6]",5
423,"[6, 2, 8, 4]",6
424,"[6, 3, 8, 5]",6
425,"[6, 4, 8, 6]",6
426,"[7, 2, 9, 6]",5
427,"[7, 2, 9, 4]",6
428,"[7, 3, 9, 5]",6
429,"[7, 4, 9, 6]",6
430,"[8, 2, 10, 6]",5
431,"[8, 2, 10, 4]",6
432,"[8, 3, 10, 5]",6
433,"[8, 4, 10, 6]",6
434,"[6, 4, 10, 8]",4
435,"[6, 4, 8, 8]",5
436,"[6, 4, 8, 6]",6
437,"[6, 5, 8, 7]",6
438,"[6, 6, 8, 8]",6
439,"[7, 4, 9, 8]",5
440,"[7, 4, 9, 6]",6
441,"[7, 5, 9, 7]",6
442,"[7, 6, 9, 8]",6
443,"[8, 4, 10, 8]",5
444,"[8, 4, 10, 6]",6
445,"[8, 5, 10, 7]",6
446,"[8, 6, 10, 8]",6
447,"[8, 0, 12, 8]",3
448,"[8, 0, 12, 4]",4
449,"[8, 0, 10, 4]",5
450,"[8, 0, 10, 2]",6
451,"[8, 1, 10, 3]",6
452,"[8, 2, 10, 4]",6
453,"[9, 0, 11, 4]",5
454,"[9, 0, 11, 2]",6
455,"[9, 1, 11, 3]",6
456,"[9, 2, 11, 4]",6
457,"[10, 0, 12, 4]",5
458,"[10, 0, 12, 2]",6
459,"[10, 1, 12, 3]",6
460,"[10, 2, 12, 4]",6
461,"[8, 2, 12, 6]",4
462,"[8, 2, 10, 6]",5
463,"[8, 2, 10, 4]",6
464,"[8, 3, 10, 5]",6
465,"[8, 4, 10, 6]",6
466,"[9, 2, 11, 6]",5
467,"[9, 2, 11, 4]",6
468,"[9, 3, 11, 5]",6
469,"[9, 4, 11, 6]",6
470,"[10, 2, 12, 6]",5
471,"[10, 2, 12, 4]",6
472,"[10, 3, 12, 5]",6
473,"[10, 4, 12, 6]",6
474,"[8, 4, 12, 8]",4
475,"[8, 4, 10, 8]",5
476,"[8, 4, 10, 6]",6
477,"[8, 5, 10, 7]",6
478,"[8, 6, 10, 8]",6
479,"[9, 4, 11, 8]",5
480,"[9, 4, 11, 6]",6
481,"[9, 5, 11, 7]",6
482,"[9, 6, 11, 8]",6
483,"[10, 4, 12, 8]",5
484,"[10, 4, 12, 6]",6
485,"[10, 5, 12, 7]",6
486,"[10, 6, 12, 8]",6
487,"[4, 4, 12, 12]",2
488,"[4, 4, 8, 12]",3
489,"[4, 4, 8, 8]",4
490,"[4, 4, 6, 8]",5
491,"[4, 4, 6, 6]",6
492,"[4, 5, 6, 7]",6
493,"[4, 6, 6, 8]",6
494,"[5, 4, 7, 8]",5
495,"[5, 4, 7, 6]",6
496,"[5, 5, 7, 7]",6
497,"[5, 6, 7, 8]",6
498,"[6, 4, 8, 8]",5
499,"[6, 4, 8, 6]",6
500,"[6, 5, 8, 7]",6
501,"[6, 6, 8, 8]",6
502,"[4, 6, 8, 10]",4
503,"[4, 6, 6, 10]",5
504,"[4, 6, 6, 8]",6
505,"[4, 7, 6, 9]",6
506,"[4, 8, 6, 10]",6
507,"[5, 6, 7, 10]",5
508,"[5, 6, 7, 8]",6
509,"[5, 7, 7, 9]",6
510,"[5, 8, 7, 10]",6
511,"[6, 6, 8, 10]",5
512,"[6, 6, 8, 8]",6
513,"[6, 7, 8, 9]",6
514,"[6, 8, 8, 10]",6
515,"[4, 8, 8, 12]",4
516,"[4, 8, 6, 12]",5
517,"[4, 8, 6, 10]",6
518,"[4, 9, 6, 11]",6
519,"[4, 10, 6, 12]",6
520,"[5, 8, 7, 12]",5
521,"[5, 8, 7, 10]",6
522,"[5, 9, 7, 11]",6
523,"[5, 10, 7, 12]",6
524,"[6, 8, 8, 12]",5
525,"[6, 8, 8, 10]",6
526,"[6, 9, 8, 11]",6
527,"[6, 10, 8, 12]",6
528,"[6, 4, 10, 12]",3
529,"[6, 4, 10, 8]",4
530,"[6, 4, 8, 8]",5
531,"[6, 4, 8, 6]",6
532,"[6, 5, 8, 7]",6
533,"[6, 6, 8, 8]",6
534,"[7, 4, 9, 8]",5
535,"[7, 4, 9, 6]",6
536,"[7, 5, 9, 7]",6
537,"[7, 6, 9, 8]",6
538,"[8, 4, 10, 8]",5
539,"[8, 4, 10, 6]",6
540,"[8, 5, 10, 7]",6
541,"[8, 6, 10, 8]",6
542,"[6, 6, 10, 10]",4
543,"[6, 6, 8, 10]",5
544,"[6, 6, 8, 8]",6
545,"[6, 7, 8, 9]",6
546,"[6, 8, 8, 10]",6
547,"[7, 6, 9, 10]",5
548,"[7, 6, 9, 8]",6
549,"[7, 7, 9, 9]",6
550,"[7, 8, 9, 10]",6
551,"[8, 6, 10, 10]",5
552,"[8, 6, 10, 8]",6
553,"[8, 7, 10, 9]",6
554,"[8, 8, 10, 10]",6
555,"[6, 8, 10, 12]",4
556,"[6, 8, 8, 12]",5
557,"[6, 8, 8, 10]",6
558,"[6, 9, 8, 11]",6
559,"[6, 10, 8, 12]",6
560,"[7, 8, 9, 12]",5
561,"[7, 8, 9, 10]",6
562,"[7, 9, 9, 11]",6
563,"[7, 10, 9, 12]",6
564,"[8, 8, 10, 12]",5
565,"[8, 8, 10, 10]",6
566,"[8, 9, 10, 11]",6
567,"[8, 10, 10, 12]",6
568,"[8, 4, 12, 12]",3
569,"[8, 4, 12, 8]",4
570,"[8, 4, 10, 8]",5
571,"[8, 4, 10, 6]",6
572,"[8, 5, 10, 7]",6
573,"[8, 6, 10, 8]",6
574,"[9, 4, 11, 8]",5
575,"[9, 4, 11, 6]",6
576,"[9, 5, 11, 7]",6
577,"[9, 6, 11, 8]",6
578,"[10, 4, 12, 8]",5
579,"[10, 4, 12, 6]",6
580,"[10, 5, 12, 7]",6
581,"[10, 6, 12, 8]",6
582,"[8, 6, 12, 10]",4
583,"[8, 6, 10, 10]",5
584,"[8, 6, 10, 8]",6
585,"[8, 7, 10, 9]",6
586,"[8, 8, 10, 10]",6
587,"[9, 6, 11, 10]",5
588,"[9, 6, 11, 8]",6
589,"[9, 7, 11, 9]",6
590,"[9, 8, 11, 10]",6
591,"[10, 6, 12, 10]",5
