,BBOX,Depth,parent
144,"[1, 6, 3, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9970>, <__main__.DAGTree object at 0x0000021CEA5FA510>]"
145,"[1, 7, 3, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FA510>]
146,"[1, 8, 3, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA510>, <__main__.DAGTree object at 0x0000021CEA5FA6C0>]"
147,"[2, 6, 4, 10]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA450>, <__main__.DAGTree object at 0x0000021CEA5FA810>]"
148,"[2, 6, 4, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9940>, <__main__.DAGTree object at 0x0000021CEA5FA4E0>]"
149,"[2, 7, 4, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FA4E0>]
150,"[2, 8, 4, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4E0>, <__main__.DAGTree object at 0x0000021CEA5FA690>]"
151,"[0, 8, 4, 12]",4,"[<__main__.DAGTree object at 0x0000021CEA5FA3C0>, <__main__.DAGTree object at 0x0000021CEA5FAD50>]"
152,"[0, 8, 2, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FA480>]
153,"[0, 8, 2, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4B0>, <__main__.DAGTree object at 0x0000021CEA5FA660>]"
154,"[0, 9, 2, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA660>]
155,"[0, 10, 2, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA660>, <__main__.DAGTree object at 0x0000021CEA5FAE40>]"
156,"[1, 8, 3, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FA480>]
157,"[1, 8, 3, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA510>, <__main__.DAGTree object at 0x0000021CEA5FA6C0>]"
158,"[1, 9, 3, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA6C0>]
159,"[1, 10, 3, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA6C0>, <__main__.DAGTree object at 0x0000021CEA5FAF00>]"
160,"[2, 8, 4, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA480>, <__main__.DAGTree object at 0x0000021CEA5FA840>]"
