SRC_random Query: Medium,Depth,BBoxes,Data Size
"[4, 25, 10, 31]",4,"[4, 24, 12, 32]",64
"[21, 22, 27, 28]",4,"[20, 20, 28, 28]",64
"[25, 18, 31, 24]",4,"[24, 16, 32, 24]",64
"[12, 11, 18, 17]",3,"[12, 8, 20, 24]",128
"[14, 1, 20, 7]",4,"[12, 0, 20, 8]",64
"[17, 13, 23, 19]",4,"[16, 12, 24, 20]",64
"[20, 19, 26, 25]",3,"[20, 16, 28, 32]",128
"[25, 25, 31, 31]",4,"[24, 24, 32, 32]",64
"[24, 7, 30, 13]",3,"[24, 0, 32, 16]",128
"[0, 11, 6, 17]",3,"[0, 8, 8, 24]",128
"[16, 5, 22, 11]",4,"[16, 4, 24, 12]",64
"[21, 6, 27, 12]",4,"[20, 4, 28, 12]",64
"[20, 11, 26, 17]",3,"[20, 8, 28, 24]",128
"[20, 22, 26, 28]",4,"[20, 20, 28, 28]",64
"[15, 0, 21, 6]",2,"[8, 0, 24, 16]",256
"[23, 23, 29, 29]",2,"[16, 16, 32, 32]",256
"[7, 18, 13, 24]",2,"[0, 8, 16, 24]",256
"[7, 8, 13, 14]",2,"[0, 0, 16, 16]",256
"[5, 24, 11, 30]",4,"[4, 24, 12, 32]",64
"[13, 2, 19, 8]",4,"[12, 0, 20, 8]",64
"[18, 14, 24, 20]",4,"[16, 12, 24, 20]",64
"[7, 23, 13, 29]",2,"[0, 16, 16, 32]",256
"[22, 14, 28, 20]",4,"[20, 12, 28, 20]",64
"[16, 25, 22, 31]",4,"[16, 24, 24, 32]",64
"[25, 22, 31, 28]",4,"[24, 20, 32, 28]",64
"[3, 6, 9, 12]",2,"[0, 0, 16, 16]",256
"[5, 14, 11, 20]",4,"[4, 12, 12, 20]",64
"[2, 13, 8, 19]",4,"[0, 12, 8, 20]",64
"[20, 12, 26, 18]",4,"[20, 12, 28, 20]",64
"[8, 8, 14, 14]",4,"[8, 8, 16, 16]",64
"[13, 24, 19, 30]",4,"[12, 24, 20, 32]",64
"[24, 11, 30, 17]",3,"[24, 8, 32, 24]",128
"[19, 10, 25, 16]",2,"[16, 8, 32, 24]",256
"[2, 9, 8, 15]",4,"[0, 8, 8, 16]",64
"[0, 15, 6, 21]",3,"[0, 8, 8, 24]",128
"[0, 24, 6, 30]",4,"[0, 24, 8, 32]",64
"[8, 6, 14, 12]",4,"[8, 4, 16, 12]",64
"[24, 12, 30, 18]",4,"[24, 12, 32, 20]",64
"[12, 13, 18, 19]",4,"[12, 12, 20, 20]",64
"[24, 20, 30, 26]",4,"[24, 20, 32, 28]",64
"[20, 21, 26, 27]",4,"[20, 20, 28, 28]",64
"[12, 22, 18, 28]",4,"[12, 20, 20, 28]",64
"[26, 1, 32, 7]",4,"[24, 0, 32, 8]",64
"[18, 14, 24, 20]",4,"[16, 12, 24, 20]",64
"[11, 26, 17, 32]",2,"[8, 16, 24, 32]",256
"[18, 4, 24, 10]",4,"[16, 4, 24, 12]",64
"[18, 22, 24, 28]",4,"[16, 20, 24, 28]",64
"[8, 10, 14, 16]",4,"[8, 8, 16, 16]",64
"[26, 0, 32, 6]",4,"[24, 0, 32, 8]",64
"[12, 15, 18, 21]",3,"[12, 8, 20, 24]",128
"[16, 4, 22, 10]",4,"[16, 4, 24, 12]",64
"[1, 2, 7, 8]",4,"[0, 0, 8, 8]",64
"[18, 11, 24, 17]",3,"[16, 8, 24, 24]",128
"[11, 0, 17, 6]",2,"[8, 0, 24, 16]",256
"[2, 6, 8, 12]",4,"[0, 4, 8, 12]",64
"[22, 3, 28, 9]",3,"[20, 0, 28, 16]",128
"[21, 17, 27, 23]",4,"[20, 16, 28, 24]",64
"[15, 1, 21, 7]",2,"[8, 0, 24, 16]",256
"[10, 26, 16, 32]",4,"[8, 24, 16, 32]",64
"[0, 10, 6, 16]",4,"[0, 8, 8, 16]",64
"[12, 4, 18, 10]",4,"[12, 4, 20, 12]",64
"[24, 20, 30, 26]",4,"[24, 20, 32, 28]",64
"[8, 13, 14, 19]",4,"[8, 12, 16, 20]",64
"[21, 4, 27, 10]",4,"[20, 4, 28, 12]",64
"[19, 4, 25, 10]",2,"[16, 0, 32, 16]",256
"[12, 9, 18, 15]",4,"[12, 8, 20, 16]",64
"[16, 1, 22, 7]",4,"[16, 0, 24, 8]",64
"[5, 4, 11, 10]",4,"[4, 4, 12, 12]",64
"[4, 15, 10, 21]",3,"[4, 8, 12, 24]",128
"[22, 20, 28, 26]",4,"[20, 20, 28, 28]",64
"[22, 24, 28, 30]",4,"[20, 24, 28, 32]",64
"[23, 1, 29, 7]",2,"[16, 0, 32, 16]",256
"[23, 26, 29, 32]",2,"[16, 16, 32, 32]",256
"[16, 1, 22, 7]",4,"[16, 0, 24, 8]",64
"[26, 17, 32, 23]",4,"[24, 16, 32, 24]",64
"[22, 23, 28, 29]",3,"[20, 16, 28, 32]",128
"[22, 20, 28, 26]",4,"[20, 20, 28, 28]",64
"[12, 5, 18, 11]",4,"[12, 4, 20, 12]",64
"[11, 25, 17, 31]",2,"[8, 16, 24, 32]",256
"[18, 26, 24, 32]",4,"[16, 24, 24, 32]",64
"[2, 2, 8, 8]",4,"[0, 0, 8, 8]",64
"[17, 5, 23, 11]",4,"[16, 4, 24, 12]",64
"[26, 8, 32, 14]",4,"[24, 8, 32, 16]",64
"[6, 25, 12, 31]",4,"[4, 24, 12, 32]",64
"[8, 10, 14, 16]",4,"[8, 8, 16, 16]",64
"[22, 22, 28, 28]",4,"[20, 20, 28, 28]",64
"[8, 25, 14, 31]",4,"[8, 24, 16, 32]",64
"[8, 16, 14, 22]",4,"[8, 16, 16, 24]",64
"[14, 4, 20, 10]",4,"[12, 4, 20, 12]",64
"[24, 14, 30, 20]",4,"[24, 12, 32, 20]",64
"[17, 4, 23, 10]",4,"[16, 4, 24, 12]",64
"[1, 20, 7, 26]",4,"[0, 20, 8, 28]",64
"[18, 5, 24, 11]",4,"[16, 4, 24, 12]",64
"[20, 16, 26, 22]",4,"[20, 16, 28, 24]",64
"[1, 24, 7, 30]",4,"[0, 24, 8, 32]",64
"[10, 26, 16, 32]",4,"[8, 24, 16, 32]",64
"[2, 6, 8, 12]",4,"[0, 4, 8, 12]",64
"[20, 25, 26, 31]",4,"[20, 24, 28, 32]",64
"[14, 19, 20, 25]",3,"[12, 16, 20, 32]",128
"[7, 25, 13, 31]",2,"[0, 16, 16, 32]",256
"[14, 16, 20, 22]",4,"[12, 16, 20, 24]",64
"[5, 22, 11, 28]",4,"[4, 20, 12, 28]",64
"[10, 20, 16, 26]",4,"[8, 20, 16, 28]",64
"[4, 15, 10, 21]",3,"[4, 8, 12, 24]",128
"[24, 17, 30, 23]",4,"[24, 16, 32, 24]",64
"[1, 17, 7, 23]",4,"[0, 16, 8, 24]",64
"[2, 26, 8, 32]",4,"[0, 24, 8, 32]",64
"[16, 10, 22, 16]",4,"[16, 8, 24, 16]",64
"[0, 26, 6, 32]",4,"[0, 24, 8, 32]",64
"[24, 2, 30, 8]",4,"[24, 0, 32, 8]",64
"[3, 13, 9, 19]",2,"[0, 8, 16, 24]",256
"[19, 11, 25, 17]",2,"[16, 8, 32, 24]",256
"[18, 14, 24, 20]",4,"[16, 12, 24, 20]",64
"[10, 26, 16, 32]",4,"[8, 24, 16, 32]",64
"[12, 16, 18, 22]",4,"[12, 16, 20, 24]",64
"[11, 26, 17, 32]",2,"[8, 16, 24, 32]",256
"[20, 3, 26, 9]",3,"[20, 0, 28, 16]",128
"[4, 10, 10, 16]",4,"[4, 8, 12, 16]",64
"[0, 5, 6, 11]",4,"[0, 4, 8, 12]",64
"[23, 4, 29, 10]",2,"[16, 0, 32, 16]",256
"[0, 10, 6, 16]",4,"[0, 8, 8, 16]",64
"[19, 6, 25, 12]",2,"[16, 0, 32, 16]",256
"[1, 13, 7, 19]",4,"[0, 12, 8, 20]",64
"[20, 1, 26, 7]",4,"[20, 0, 28, 8]",64
"[22, 9, 28, 15]",4,"[20, 8, 28, 16]",64
"[25, 12, 31, 18]",4,"[24, 12, 32, 20]",64
"[1, 19, 7, 25]",3,"[0, 16, 8, 32]",128
"[24, 25, 30, 31]",4,"[24, 24, 32, 32]",64
"[22, 5, 28, 11]",4,"[20, 4, 28, 12]",64
